route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_boarding
3,1,4838797,Stamford - Grand Central Terminal,1385,1,,5,1
3,1,4838792,New Rochelle - Grand Central Terminal,1233,1,,5,1
3,1,4838788,Grand Central Terminal - Harrison,1364,0,,16,1
3,1,4838783,Grand Central Terminal - Stamford,1352,0,,16,1
3,1,4838782,Stamford - Grand Central Terminal,1365,1,,5,1
4,1,4838781,New Canaan - Grand Central Terminal,1731,1,,8,1
4,1,4838773,Stamford - New Canaan,1716,0,,19,1
4,1,4838770,New Canaan - Stamford,1759,1,,8,1
3,1,4838765,Grand Central Terminal - New Haven,1598,0,,16,1
4,1,4838764,Grand Central Terminal - New Canaan,1752,0,,19,1
3,1,4838756,NH-State St. - Grand Central Terminal,1575,1,,5,1
3,1,4838705,New Haven - Grand Central Terminal,1551,1,,5,1
3,1,4838697,Grand Central Terminal - New Haven,1508,0,,16,1
3,1,4838696,South Norwalk - Grand Central Terminal,1497,1,,5,1
3,1,4838695,NH-State St. - Grand Central Terminal,1573,1,,5,1
3,1,4838689,Grand Central Terminal - Stamford,1328,0,,16,1
3,1,4838688,Grand Central Terminal - South Norwalk,1442,0,,16,1
3,1,4838677,Grand Central Terminal - New Rochelle,1268,0,,16,1
3,1,4838671,Harrison - Grand Central Terminal,1241,1,,5,1
4,1,4838665,Stamford - New Canaan,1730,0,,19,1
4,1,4838656,Grand Central Terminal - New Canaan,1758,0,,19,1
3,1,4838652,New Haven - Grand Central Terminal,1591,1,,5,1
3,1,4838650,Grand Central Terminal - New Haven,1580,0,,16,1
3,1,4838643,New Haven - Grand Central Terminal,1571,1,,5,1
3,1,4838603,Port Chester - Grand Central Terminal,1323,1,,5,1
3,1,4838588,Grand Central Terminal - New Haven,1530,0,,16,1
3,1,4838587,Grand Central Terminal - New Haven,1516,0,,16,1
3,1,4838586,Grand Central Terminal - NH-State St.,1514,0,,16,1
3,1,4838578,Bridgeport - Grand Central Terminal,1439,1,,5,1
3,1,4838577,South Norwalk - Grand Central Terminal,1429,1,,5,1
3,1,4838573,Grand Central Terminal - Stamford,1394,0,,16,1
3,1,4838572,Harrison - Grand Central Terminal,1279,1,,5,1
3,1,4838565,Harrison - Grand Central Terminal,1245,1,,5,1
3,1,4838562,Stamford - Grand Central Terminal,1367,1,,5,1
3,1,4838561,Grand Central Terminal - Stamford,1358,0,,16,1
3,1,4838555,Stamford - Grand Central Terminal,1347,1,,5,1
4,1,4838554,New Canaan - Grand Central Terminal,1735,1,,8,1
3,1,4838545,New Haven - Grand Central Terminal,1599,1,,5,1
4,1,4838544,New Canaan - Stamford,1787,1,,8,1
4,1,4838543,New Canaan - Grand Central Terminal,1777,1,,8,1
4,1,4838542,Grand Central Terminal - New Canaan,1774,0,,19,1
3,1,4838538,Grand Central Terminal - New Haven,1586,0,,16,1
4,1,4838535,Grand Central Terminal - New Canaan,1740,0,,19,1
3,1,4838528,New Haven - Grand Central Terminal,1569,1,,5,1
3,1,4838499,Stamford - Grand Central Terminal,1345,1,,5,1
3,1,4838493,Grand Central Terminal - New Haven,1552,0,,16,1
3,1,4838477,Stamford - Grand Central Terminal,1477,1,,5,1
3,1,4838476,Stamford - Grand Central Terminal,1473,1,,5,1
3,1,4838471,Grand Central Terminal - Stamford,1338,0,,16,1
3,1,4838470,Greenwich - Grand Central Terminal,1333,1,,5,1
